dimension,num_prod,run,iters_to_NE,NE
10,40,8,14,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,9,22,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,10,14,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,11,16,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,12,13,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,13,19,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,14,18,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,15,21,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,16,19,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,17,18,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,18,13,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,19,17,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,50,0,12,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,1,23,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,2,25,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,3,22,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,4,19,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,5,20,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,6,20,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,7,24,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,8,19,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,9,12,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,10,16,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,11,20,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,12,20,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,13,18,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,14,18,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,15,24,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,16,16,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
