dimension,num_prod,run,iters_to_NE,NE
5,70,4,12,[12. 16. 18. 18.  6.]
5,70,5,11,[12. 16. 18. 18.  6.]
5,70,6,16,[12. 16. 18. 18.  6.]
5,70,7,12,[12. 16. 18. 18.  6.]
5,70,8,6,[12. 16. 18. 18.  6.]
5,70,9,17,[12. 16. 18. 18.  6.]
5,70,10,18,[12. 16. 18. 18.  6.]
5,70,11,20,[12. 16. 18. 18.  6.]
5,70,12,11,[12. 16. 18. 18.  6.]
5,70,13,14,[12. 16. 18. 18.  6.]
5,70,14,10,[12. 16. 18. 18.  6.]
5,70,15,23,[12. 16. 18. 18.  6.]
5,70,16,12,[12. 16. 18. 18.  6.]
5,70,17,11,[12. 16. 18. 18.  6.]
5,70,18,13,[12. 16. 18. 18.  6.]
5,70,19,13,[12. 16. 18. 18.  6.]
5,70,20,8,[12. 16. 18. 18.  6.]
5,70,21,12,[12. 16. 18. 18.  6.]
5,70,22,12,[12. 16. 18. 18.  6.]
5,70,23,10,[12. 16. 18. 18.  6.]
5,70,24,10,[12. 16. 18. 18.  6.]
5,70,25,13,[12. 16. 18. 18.  6.]
5,70,26,12,[12. 16. 18. 18.  6.]
5,70,27,9,[12. 16. 18. 18.  6.]
5,70,28,13,[12. 16. 18. 18.  6.]
5,70,29,15,[12. 16. 18. 18.  6.]
5,70,30,13,[12. 16. 18. 18.  6.]
5,70,31,19,[12. 16. 18. 18.  6.]
5,70,32,10,[12. 16. 18. 18.  6.]
5,70,33,15,[12. 16. 18. 18.  6.]
5,70,34,7,[12. 16. 18. 18.  6.]
5,70,35,19,[12. 16. 18. 18.  6.]
5,70,36,17,[12. 16. 18. 18.  6.]
5,70,37,14,[12. 16. 18. 18.  6.]
5,70,38,13,[12. 16. 18. 18.  6.]
5,70,39,9,[12. 16. 18. 18.  6.]
5,80,0,12,[14. 18. 20. 20.  8.]
5,80,1,16,[14. 18. 20. 20.  8.]
5,80,2,18,[14. 18. 20. 20.  8.]
5,80,3,14,[14. 18. 20. 20.  8.]
5,80,4,13,[14. 18. 20. 20.  8.]
5,80,5,12,[14. 18. 20. 20.  8.]
5,80,6,19,[14. 18. 20. 20.  8.]
5,80,7,18,[14. 18. 20. 20.  8.]
5,80,8,20,[14. 18. 20. 20.  8.]
5,80,9,13,[14. 18. 20. 20.  8.]
5,80,10,16,[14. 18. 20. 20.  8.]
5,80,11,12,[14. 18. 20. 20.  8.]
5,80,12,19,[14. 18. 20. 20.  8.]
5,80,13,14,[14. 18. 20. 20.  8.]
5,80,14,22,[14. 18. 20. 20.  8.]
5,80,15,15,[14. 18. 20. 20.  8.]
5,80,16,20,[14. 18. 20. 20.  8.]
5,80,17,15,[14. 18. 20. 20.  8.]
5,80,18,14,[14. 18. 20. 20.  8.]
5,80,19,9,[14. 18. 20. 20.  8.]
5,80,20,8,[14. 18. 20. 20.  8.]
5,80,21,14,[14. 18. 20. 20.  8.]
5,80,22,17,[14. 18. 20. 20.  8.]
5,80,23,16,[14. 18. 20. 20.  8.]
5,80,24,9,[14. 18. 20. 20.  8.]
5,80,25,5,[14. 18. 20. 20.  8.]
5,80,26,10,[14. 18. 20. 20.  8.]
5,80,27,9,[14. 18. 20. 20.  8.]
5,80,28,23,[14. 18. 20. 20.  8.]
5,80,29,10,[14. 18. 20. 20.  8.]
5,80,30,17,[14. 18. 20. 20.  8.]
5,80,31,11,[14. 18. 20. 20.  8.]
5,80,32,7,[14. 18. 20. 20.  8.]
5,80,33,16,[14. 18. 20. 20.  8.]
5,80,34,12,[14. 18. 20. 20.  8.]
5,80,35,19,[14. 18. 20. 20.  8.]
5,80,36,20,[14. 18. 20. 20.  8.]
5,80,37,14,[14. 18. 20. 20.  8.]
5,80,38,14,[14. 18. 20. 20.  8.]
5,80,39,16,[14. 18. 20. 20.  8.]
5,90,0,20,[16. 20. 23. 23.  8.]
5,90,1,14,[16. 20. 23. 23.  8.]
5,90,2,25,[16. 20. 23. 23.  8.]
5,90,3,18,[16. 20. 23. 23.  8.]
5,90,4,17,[16. 20. 23. 23.  8.]
5,90,5,13,[16. 20. 23. 23.  8.]
5,90,6,28,[16. 20. 23. 23.  8.]
5,90,7,21,[16. 20. 23. 23.  8.]
5,90,8,15,[16. 20. 23. 23.  8.]
5,90,9,18,[16. 20. 23. 23.  8.]
5,90,10,22,[16. 20. 23. 23.  8.]
5,90,11,15,[16. 20. 23. 23.  8.]
5,90,12,13,[16. 20. 23. 23.  8.]
5,90,13,30,[16. 20. 23. 23.  8.]
5,90,14,26,[16. 20. 23. 23.  8.]
5,90,15,15,[16. 20. 23. 23.  8.]
5,90,16,10,[16. 20. 23. 23.  8.]
5,90,17,7,[16. 20. 23. 23.  8.]
5,90,18,17,[16. 20. 23. 23.  8.]
5,90,19,21,[16. 20. 23. 23.  8.]
5,90,20,17,[16. 20. 23. 23.  8.]
5,90,21,23,[16. 20. 23. 23.  8.]
5,90,22,17,[16. 20. 23. 23.  8.]
5,90,23,19,[16. 20. 23. 23.  8.]
5,90,24,11,[16. 20. 23. 23.  8.]
5,90,25,19,[16. 20. 23. 23.  8.]
5,90,26,28,[16. 20. 23. 23.  8.]
5,90,27,16,[16. 20. 23. 23.  8.]
5,90,28,18,[16. 20. 23. 23.  8.]
5,90,29,19,[16. 20. 23. 23.  8.]
5,90,30,26,[16. 20. 23. 23.  8.]
5,90,31,25,[16. 20. 23. 23.  8.]
5,90,32,21,[16. 20. 23. 23.  8.]
5,90,33,15,[16. 20. 23. 23.  8.]
5,90,34,25,[16. 20. 23. 23.  8.]
5,90,35,21,[16. 20. 23. 23.  8.]
5,90,36,21,[16. 20. 23. 23.  8.]
5,90,37,17,[16. 20. 23. 23.  8.]
5,90,38,16,[16. 20. 23. 23.  8.]
5,90,39,21,[16. 20. 23. 23.  8.]
5,100,0,14,[18. 22. 25. 26.  9.]
5,100,1,19,[18. 22. 25. 26.  9.]
5,100,2,19,[18. 22. 25. 26.  9.]
5,100,3,14,[18. 22. 25. 26.  9.]
5,100,4,4,[18. 22. 25. 26.  9.]
5,100,5,18,[18. 22. 25. 26.  9.]
5,100,6,14,[18. 22. 25. 26.  9.]
5,100,7,17,[18. 22. 25. 26.  9.]
5,100,8,15,[18. 22. 25. 26.  9.]
5,100,9,14,[18. 22. 25. 26.  9.]
5,100,10,21,[18. 22. 25. 26.  9.]
5,100,11,25,[18. 22. 25. 26.  9.]
5,100,12,16,[18. 22. 25. 26.  9.]
5,100,13,19,[18. 22. 25. 26.  9.]
5,100,14,19,[18. 22. 25. 26.  9.]
5,100,15,22,[18. 22. 25. 26.  9.]
5,100,16,15,[18. 22. 25. 26.  9.]
5,100,17,19,[18. 22. 25. 26.  9.]
5,100,18,21,[18. 22. 25. 26.  9.]
5,100,19,18,[18. 22. 25. 26.  9.]
5,100,20,25,[18. 22. 25. 26.  9.]
5,100,21,14,[18. 22. 25. 26.  9.]
5,100,22,19,[18. 22. 25. 26.  9.]
5,100,23,15,[18. 22. 25. 26.  9.]
5,100,24,20,[18. 22. 25. 26.  9.]
5,100,25,16,[18. 22. 25. 26.  9.]
5,100,26,23,[18. 22. 25. 26.  9.]
5,100,27,24,[18. 22. 25. 26.  9.]
5,100,28,14,[18. 22. 25. 26.  9.]
5,100,29,9,[18. 22. 25. 26.  9.]
5,100,30,14,[18. 22. 25. 26.  9.]
5,100,31,9,[18. 22. 25. 26.  9.]
5,100,32,19,[18. 22. 25. 26.  9.]
5,100,33,18,[18. 22. 25. 26.  9.]
5,100,34,16,[18. 22. 25. 26.  9.]
5,100,35,13,[18. 22. 25. 26.  9.]
5,100,36,14,[18. 22. 25. 26.  9.]
5,100,37,21,[18. 22. 25. 26.  9.]
5,100,38,28,[18. 22. 25. 26.  9.]
5,100,39,25,[18. 22. 25. 26.  9.]
10,10,0,4,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,1,5,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,2,4,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,3,2,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,4,7,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,5,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,6,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,7,5,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,8,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,9,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,10,5,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,11,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,12,4,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,13,4,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,14,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,15,3,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,16,7,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,17,8,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,18,5,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,19,5,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,20,9,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,21,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,22,7,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,23,8,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,24,3,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,25,1,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,26,5,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,27,2,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,28,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,29,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
