dimension,num_prod,run,iters_to_NE,NE
10,70,7,61,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,8,61,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,9,63,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,10,61,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,11,59,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,12,65,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,13,60,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,14,65,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,15,61,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,16,61,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,17,59,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,18,64,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,19,62,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,80,0,72,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,1,68,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,2,69,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,3,64,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,4,66,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,5,67,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,6,70,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,7,71,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,8,70,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,9,69,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,10,71,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,11,74,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
